mes_num,sen_mes,cos_mes,lag_1,pct_change,rolling_3,diff_1,tendencia,entidad_enc,real,pred,mes,entidad,error
2,0.8660254037844386,0.5000000000000001,1310.0,-0.05343511450381677,1198.3333333333333,-70.0,4,1388.2215998809747,1240,1163.5584310966806,Febrero,Quintana Roo,-76.44156890331942
10,-0.8660254037844386,0.5000000000000001,2505.0,0.09341317365269464,2674.3333333333335,234.0,10,1737.3069565162714,2739,2788.000191919193,Octubre,Puebla,49.000191919193185
3,1.0,6.123233995736766e-17,1521.0,0.14069690992767914,1586.0,214.0,7,1478.3513869425597,1735,1513.0688159618157,Marzo,Veracruz de Ignacio de la Llave,-221.93118403818426
5,0.49999999999999994,-0.8660254037844387,762.0,0.20472440944881898,826.6666666666666,156.0,8,1295.4307887295615,918,890.407886904762,Mayo,Tamaulipas,-27.592113095238005
5,0.49999999999999994,-0.8660254037844387,208.0,-0.16826923076923073,188.66666666666666,-35.0,8,1147.557022364715,173,187.80873242035744,Mayo,Chiapas,14.808732420357444
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1227.2517975570286,536,465.30021861471863,Abril,Zacatecas,-70.69978138528137
11,-0.5000000000000004,0.8660254037844384,512.0,-0.173828125,492.6666666666667,-89.0,9,1230.144757162619,423,465.12846825396826,Noviembre,Baja California Sur,42.128468253968265
6,1.2246467991473532e-16,-1.0,253.0,0.18972332015810278,302.0,48.0,6,1244.1493777659207,301,370.4429942279943,Junio,Durango,69.44299422799429
1,0.49999999999999994,0.8660254037844387,496.0,0.21370967741935476,485.0,106.0,3,1227.2517975570286,602,544.4618751803752,Enero,Zacatecas,-57.53812481962484
10,-0.8660254037844386,0.5000000000000001,674.0,-0.011869436201780381,771.0,-8.0,10,1300.425586617659,666,773.5304444444445,Octubre,Oaxaca,107.53044444444447
7,-0.4999999999999997,-0.8660254037844388,2417.0,0.11667356226727343,2542.3333333333335,282.0,5,1737.3069565162714,2699,2695.258351731602,Julio,Puebla,-3.7416482683979666
10,-0.8660254037844386,0.5000000000000001,275.0,0.16727272727272724,303.6666666666667,46.0,10,1244.1493777659207,321,362.6154743867244,Octubre,Durango,41.61547438672437
1,0.49999999999999994,0.8660254037844387,9929.0,0.1389868063249069,10832.666666666666,1380.0,3,3922.267759793309,11309,10821.196801587304,Enero,México,-487.80319841269556
11,-0.5000000000000004,0.8660254037844384,1949.0,0.01641867624422777,1945.0,32.0,9,1590.4380599469032,1981,1982.4730178571428,Noviembre,Querétaro,1.4730178571428496
